#id,code,val,sort_order,description
1,1,1,1,project_type-all_or_nothing
2,1,2,2,project_type-flexible_funding
3,2,1,1,project_status-draft
4,2,2,2,project_status-applied
5,2,3,3,project_status-remanded
6,2,5,4,project_status-active
7,2,6,5,project_status-suspended
8,2,9,6,project_status-closed
9,3,1,1,project_closed_status-canceled
10,3,2,2,project_closed_status-success
11,3,3,3,project_closed_status-failure
12,4,1,1,reward_estimated_delevery_detail-not_specified
13,4,2,2,reward_estimated_delevery_detail-first_half
14,4,3,3,reward_estimated_delevery_detail-second_half
15,5,1,1,reward_ships_to-anywhere
16,5,2,2,reward_ships_to-specified_countries
17,5,3,3,reward_ships_to-only_one_country
18,6,1,1,reward_status-draft
19,6,2,2,reward_status-applied
20,6,3,3,reward_status-remanded
21,6,5,4,reward_status-active
22,6,6,5,reward_status-suspended
23,7,1,1,funding_payment_method-wallet
24,7,2,2,funding_payment_method-credit_card
25,7,3,3,funding_payment_method-bank_transfer
26,7,4,4,funding_payment_method-virtual_coins
27,8,1,1,user_birth_date_pub-public
28,8,2,2,user_birth_date_pub-friends_only
29,8,3,3,user_birth_date_pub-private
30,9,1,1,user_gender-male
31,9,2,2,user_gender-female
32,9,3,3,user_gender-other
33,10,1,1,user_gender_pub-public
34,10,2,2,user_gender_pub-friends_only
35,10,3,3,user_gender_pub-private
36,11,1,1,user_status-active
37,11,2,2,user_status-suspended
38,11,3,3,user_status-closed
39,12,1,1,user_withdraw_reason-for_new_account
40,12,2,2,user_withdraw_reason-bored
41,12,3,3,user_withdraw_reason-unsatisfied_support
42,12,4,4,user_withdraw_reason-other
43,13,1,1,friend_status-applied
44,13,2,2,friend_status-accepted
45,13,3,3,friend_status-declined
46,14,1,1,ranking_type-hero
47,14,2,2,ranking_type-recommended
48,14,3,3,ranking_type-favorite
49,14,4,4,ranking_type-pledged
50,14,5,5,ranking_type-return
51,14,6,6,ranking_type-new
52,14,7,7,ranking_type-success
