#id,division_id,language_id,name
1,1,1,All or nothing
2,1,2,
3,1,3,成功時支援型
4,2,1,Flexible funding
5,2,2,
6,2,3,全支援金受取型
7,3,1,Draft
8,3,2,
9,3,3,下書き
10,4,1,Applied
11,4,2,
12,4,3,申請中
13,5,1,Remanded
14,5,2,
15,5,3,差戻
16,6,1,Active
17,6,2,
18,6,3,有効
19,7,1,Suspended
20,7,2,
21,7,3,一時停止
22,8,1,Closed
23,8,2,
24,8,3,終了
25,9,1,Canceled
26,9,2,
27,9,3,キャンセル
28,10,1,Success
29,10,2,
30,10,3,成功
31,11,1,Failure
32,11,2,
33,11,3,失敗
34,12,1,Not specified
35,12,2,
36,12,3,指定なし
37,13,1,First half
38,13,2,
39,13,3,前半
40,14,1,Second half
41,14,2,
42,14,3,後半
43,15,1,Anywhere in the world
44,15,2,
45,15,3,世界中どこでも
46,16,1,Specified countries
47,16,2,
48,16,3,一部の国のみ
49,17,1,Only one country
50,17,2,
51,17,3,1カ国のみ
52,18,1,Draft
53,18,2,
54,18,3,下書き
55,19,1,Applied
56,19,2,
57,19,3,申請中
58,20,1,Remanded
59,20,2,
60,20,3,差戻
61,21,1,Active
62,21,2,
63,21,3,有効
64,22,1,Suspended
65,22,2,
66,22,3,一時停止
67,23,1,Wallet
68,23,2,
69,23,3,ウォレット
70,24,1,Credit card
71,24,2,
72,24,3,クレジットカード
73,25,1,Bank transfer
74,25,2,
75,25,3,銀行振込
76,26,1,Virtual Coins
77,26,2,
78,26,3,仮想通貨
79,27,1,Public
80,27,2,
81,27,3,公開
82,28,1,Friends only
83,28,2,
84,28,3,友人のみ公開
85,29,1,Private
86,29,2,
87,29,3,公開しない
88,30,1,Male
89,30,2,
90,30,3,男性
91,31,1,Female
92,31,2,
93,31,3,女性
94,32,1,Other
95,32,2,
96,32,3,その他
97,33,1,Public
98,33,2,
99,33,3,公開
100,34,1,Friends only
101,34,2,
102,34,3,友人のみ公開
103,35,1,Private
104,35,2,
105,35,3,公開しない
106,36,1,Active
107,36,2,
108,36,3,有効
109,37,1,Suspended
110,37,2,
111,37,3,一時停止
112,38,1,Closed
113,38,2,
114,38,3,終了
115,39,1,To create a new account
116,39,2,
117,39,3,新規アカウント作成のため
118,40,1,I'm bored.
119,40,2,
120,40,3,退屈なため
121,41,1,Because of unsatisfied support
122,41,2,
123,41,3,サポートが悪いため
124,42,1,Other
125,42,2,
126,42,3,その他
127,43,1,Applied
128,43,2,
129,43,3,申請中
130,44,1,Accepted
131,44,2,
132,44,3,承認
133,45,1,Delined
134,45,2,
135,45,3,拒否
136,46,1,Special Offer
137,46,2,
138,46,3,スペシャルオファー
139,47,1,Recommended
140,47,2,
141,47,3,おすすめ
142,48,1,Favorite
143,48,2,
144,48,3,お気に入りランキング
145,49,1,Pledged
146,49,2,
147,49,3,支援金額ランキング
148,50,1,Return
149,50,2,
150,50,3,人気リターン
151,51,1,New
152,51,2,
153,51,3,新着
154,52,1,Success
155,52,2,
156,52,3,目標達成
